日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093926,11141.559E,4048.010N,1066,19.076
20171005,093927,11141.557E,4048.013N,1067,22.594
20171005,093928,11141.555E,4048.016N,1067,25.372
20171005,093929,11141.554E,4048.020N,1068,26.854
20171005,093930,11141.552E,4048.024N,1069,27.039
20171005,093931,11141.550E,4048.028N,1069,26.113
20171005,093931,11141.550E,4048.028N,1069,26.113
20171005,093932,11141.549E,4048.031N,1069,22.965
20171005,093933,11141.547E,4048.034N,1069,17.594
20171005,093934,11141.546E,4048.037N,1069,14.446
20171005,093935,11141.545E,4048.039N,1068,16.112
20171005,093936,11141.544E,4048.042N,1069,19.446
20171005,093937,11141.543E,4048.045N,1069,20.187
20171005,093938,11141.541E,4048.047N,1068,20.742
20171005,093939,11141.540E,4048.051N,1068,22.409
20171005,093940,11141.538E,4048.054N,1067,26.854
20171005,093941,11141.535E,4048.058N,1067,31.114
20171005,093942,11141.533E,4048.063N,1067,32.225
20171005,093944,11141.529E,4048.072N,1067,28.521
20171005,093945,11141.527E,4048.076N,1067,29.817
20171005,093946,11141.526E,4048.081N,1068,31.669
20171005,093946,11141.526E,4048.081N,1068,31.669
20171005,093948,11141.523E,4048.092N,1068,36.855
20171005,093948,11141.523E,4048.092N,1069,36.855
20171005,093950,11141.519E,4048.103N,1069,37.410
20171005,093950,11141.519E,4048.103N,1070,37.410
20171005,093951,11141.516E,4048.108N,1070,37.781
20171005,093952,11141.513E,4048.113N,1070,39.448
20171005,093953,11141.510E,4048.119N,1070,39.633
20171005,093955,11141.505E,4048.131N,1070,40.188
20171005,093955,11141.505E,4048.131N,1069,40.188
20171005,093956,11141.502E,4048.137N,1069,41.855
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093957,11141.499E,4048.142N,1070,40.003
20171005,093958,11141.496E,4048.148N,1070,37.040
20171005,093959,11141.494E,4048.153N,1070,35.188
20171005,094000,11141.492E,4048.158N,1070,34.632
20171005,094002,11141.488E,4048.168N,1070,34.447
20171005,094002,11141.488E,4048.168N,1069,34.447
20171005,094004,11141.483E,4048.178N,1069,35.003
20171005,094004,11141.483E,4048.178N,1070,35.003
20171005,094005,11141.481E,4048.183N,1069,35.003
20171005,094006,11141.478E,4048.189N,1069,33.892
20171005,094007,11141.476E,4048.193N,1069,33.892
20171005,094008,11141.473E,4048.198N,1069,33.151
20171005,094009,11141.471E,4048.203N,1070,33.151
20171005,094010,11141.469E,4048.207N,1070,32.780
20171005,094011,11141.466E,4048.212N,1070,32.225
20171005,094012,11141.464E,4048.216N,1070,31.114
20171005,094013,11141.462E,4048.221N,1070,31.114
20171005,094014,11141.460E,4048.225N,1070,31.854
20171005,094016,11141.455E,4048.235N,1071,36.855
20171005,094016,11141.455E,4048.235N,1070,36.855
20171005,094017,11141.452E,4048.240N,1071,37.225
20171005,094019,11141.447E,4048.250N,1071,33.892
20171005,094019,11141.447E,4048.250N,1071,33.892
20171005,094020,11141.445E,4048.255N,1071,30.373
20171005,094022,11141.441E,4048.262N,1071,24.446
20171005,094022,11141.441E,4048.262N,1071,24.446
20171005,094023,11141.439E,4048.265N,1071,20.557
20171005,094024,11141.438E,4048.268N,1071,16.668
20171005,094025,11141.438E,4048.270N,1071,10.371
20171005,094026,11141.438E,4048.272N,1070,5.371
20171005,094028,11141.438E,4048.273N,1070,0.185
20171005,094029,11141.438E,4048.273N,1070,0.185
20171005,094029,11141.438E,4048.273N,1070,0.185
20171005,094030,11141.438E,4048.273N,1070,0.000
20171005,094031,11141.437E,4048.273N,1070,0.000
20171005,094032,11141.437E,4048.273N,1070,0.000
20171005,094034,11141.437E,4048.273N,1070,0.000
20171005,094034,11141.437E,4048.273N,1070,0.000
20171005,094035,11141.437E,4048.273N,1070,0.000
20171005,094036,11141.437E,4048.273N,1070,0.000
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,094037,11141.436E,4048.273N,1070,0.000
20171005,094038,11141.436E,4048.273N,1070,0.000
20171005,094039,11141.436E,4048.273N,1070,0.000
20171005,094040,11141.436E,4048.273N,1070,0.000
20171005,094041,11141.436E,4048.273N,1070,4.815
20171005,094042,11141.435E,4048.273N,1070,7.038
20171005,094043,11141.434E,4048.272N,1069,8.519
20171005,094044,11141.433E,4048.270N,1069,10.186
20171005,094045,11141.434E,4048.268N,1068,15.742
20171005,094046,11141.436E,4048.266N,1068,17.779
20171005,094047,11141.437E,4048.263N,1067,19.446
20171005,094048,11141.439E,4048.260N,1066,21.113
20171005,094049,11141.440E,4048.257N,1065,22.409
20171005,094050,11141.442E,4048.254N,1065,24.076
20171005,094051,11141.444E,4048.250N,1064,24.817
20171005,094052,11141.445E,4048.247N,1064,25.372
20171005,094053,11141.447E,4048.243N,1063,25.928
20171005,094054,11141.448E,4048.240N,1062,26.298
20171005,094055,11141.450E,4048.236N,1062,26.298
20171005,094056,11141.451E,4048.232N,1061,24.817
20171005,094057,11141.452E,4048.229N,1060,22.965
20171005,094058,11141.453E,4048.226N,1060,20.928
20171005,094059,11141.454E,4048.223N,1059,16.298
20171005,094100,11141.454E,4048.220N,1058,11.853
20171005,094101,11141.454E,4048.219N,1058,8.334
